Month,Revenue,Orders,Next_Month_Revenue,Projected_Growth_Pct
11/26/2,21229.44,109,25027.31,17.9
11/27/2,25027.31,120,31282.23,25.0
11/28/2,31282.23,154,26588.61,-15.0
11/29/2,26588.61,134,25340.02,-4.7
11/3/20,25340.02,127,22591.16,-10.8
11/30/2,22591.16,140,30423.4,34.7
11/4/20,30423.4,127,27608.0,-9.3
11/5/20,27608.0,109,32905.25,19.2
11/6/20,32905.25,131,29881.06,-9.2
11/7/20,29881.06,122,20619.13,-31.0
11/8/20,20619.13,108,27090.84,31.4
11/9/20,27090.84,137,24249.34,-10.5
12/1/20,24249.34,131,24919.59,2.8
12/10/2,24919.59,140,14253.06,-42.8
12/11/2,14253.06,93,23066.87,61.8
12/12/2,23066.87,120,23042.29,-0.1
12/13/2,23042.29,117,21439.53,-7.0
12/14/2,21439.53,106,26841.87,25.2
12/15/2,26841.87,141,20198.11,-24.8
12/16/2,20198.11,118,16730.3,-17.2
12/17/2,16730.3,119,18703.73,11.8
12/18/2,18703.73,117,17097.78,-8.6
12/19/2,17097.78,108,26608.87,55.6
12/2/20,26608.87,143,13922.17,-47.7
12/20/2,13922.17,102,26554.07,90.7
12/21/2,26554.07,118,26526.75,-0.1
12/22/2,26526.75,121,54516.54,105.5
12/23/2,54516.54,123,39138.92,-28.2
12/24/2,39138.92,115,28078.71,-28.3
12/25/2,28078.71,135,30206.18,7.6
12/26/2,30206.18,142,33592.41,11.2
12/27/2,33592.41,126,28374.63,-15.5
12/28/2,28374.63,127,32574.39,14.8
12/29/2,32574.39,122,42545.59,30.6
12/3/20,42545.59,176,30070.02,-29.3
12/30/2,30070.02,145,25810.1,-14.2
12/31/2,25810.1,129,36734.46,42.3
12/4/20,36734.46,159,20676.71,-43.7
12/5/20,20676.71,111,21231.63,2.7
12/6/20,21231.63,106,16788.28,-20.9
12/7/20,16788.28,93,20472.21,21.9
12/8/20,20472.21,112,22217.25,8.5
12/9/20,22217.25,131,22926.52,3.2
2/1/201,22926.52,130,26261.21,14.5
2/10/20,26261.21,138,23062.36,-12.2
2/11/20,23062.36,135,18331.97,-20.5
2/12/20,18331.97,115,26346.15,43.7
2/13/20,26346.15,132,20773.67,-21.2
2/14/20,20773.67,118,23896.32,15.0
2/15/20,23896.32,119,23993.39,0.4
2/16/20,23993.39,136,25864.19,7.8
2/17/20,25864.19,129,30333.29,17.3
2/18/20,30333.29,146,28782.95,-5.1
2/19/20,28782.95,151,23873.75,-17.1
2/2/201,23873.75,125,27286.2,14.3
2/20/20,27286.2,155,32621.56,19.6
2/21/20,32621.56,153,26830.95,-17.8
2/22/20,26830.95,141,23749.28,-11.5
2/23/20,23749.28,126,23031.43,-3.0
2/24/20,23031.43,132,27014.09,17.3
2/25/20,27014.09,143,27309.99,1.1
2/26/20,27309.99,142,24081.41,-11.8
2/27/20,24081.41,133,27219.93,13.0
2/28/20,27219.93,150,8104.08,-70.2
2/29/20,8104.08,39,30757.92,279.5
2/3/201,30757.92,162,20441.77,-33.5
2/4/201,20441.77,108,24799.24,21.3
2/5/201,24799.24,129,21178.53,-14.6
2/6/201,21178.53,118,24335.39,14.9
2/7/201,24335.39,140,24285.04,-0.2
2/8/201,24285.04,133,26031.2,7.2
2/9/201,26031.2,141,21801.48,-16.2
3/1/201,21801.48,124,26881.38,23.3
3/10/20,26881.38,156,21093.65,-21.5
3/11/20,21093.65,114,23361.6,10.8
3/12/20,23361.6,137,24352.42,4.2
3/13/20,24352.42,135,22396.7,-8.0
3/14/20,22396.7,107,23309.38,4.1
3/15/20,23309.38,120,23818.56,2.2
3/16/20,23818.56,126,23120.37,-2.9
3/17/20,23120.37,133,29566.64,27.9
3/18/20,29566.64,158,27625.52,-6.6
3/19/20,27625.52,134,26576.99,-3.8
3/2/201,26576.99,145,23076.59,-13.2
3/20/20,23076.59,133,22151.55,-4.0
3/21/20,22151.55,125,26289.9,18.7
3/22/20,26289.9,143,18999.98,-27.7
3/23/20,18999.98,120,20040.82,5.5
3/24/20,20040.82,118,20159.08,0.6
3/25/20,20159.08,113,22282.85,10.5
3/26/20,22282.85,123,27916.05,25.3
3/27/20,27916.05,156,21868.32,-21.7
3/28/20,21868.32,125,25383.56,16.1
3/29/20,25383.56,124,28744.61,13.2
3/3/201,28744.61,164,28570.76,-0.6
3/30/20,28570.76,155,27467.7,-3.9
3/31/20,27467.7,156,27632.52,0.6
3/4/201,27632.52,158,25573.25,-7.5
3/5/201,25573.25,135,28028.11,9.6
3/6/201,28028.11,151,25434.11,-9.3
3/7/201,25434.11,144,23392.52,-8.0
3/8/201,23392.52,124,23230.4,-0.7
3/9/201,23230.4,131,26578.12,14.4
4/1/201,26578.12,135,26942.05,1.4
4/10/20,26942.05,143,23816.33,-11.6
4/11/20,23816.33,139,29707.94,24.7
4/12/20,29707.94,167,20932.99,-29.5
4/13/20,20932.99,110,26848.89,28.3
4/14/20,26848.89,148,30551.68,13.8
4/15/20,30551.68,150,24217.43,-20.7
4/16/20,24217.43,127,27127.31,12.0
4/17/20,27127.31,140,28134.91,3.7
4/18/20,28134.91,160,28931.0,2.8
4/19/20,28931.0,149,24759.11,-14.4
4/2/201,24759.11,128,22635.16,-8.6
4/20/20,22635.16,121,25871.4,14.3
4/21/20,25871.4,143,25087.12,-3.0
4/22/20,25087.12,135,30040.81,19.7
4/23/20,30040.81,153,30644.0,2.0
4/24/20,30644.0,157,23564.49,-23.1
4/25/20,23564.49,128,23798.76,1.0
4/26/20,23798.76,133,25364.54,6.6
4/27/20,25364.54,136,23185.62,-8.6
4/28/20,23185.62,111,26780.39,15.5
4/29/20,26780.39,134,25695.9,-4.0
4/3/201,25695.9,143,22890.3,-10.9
4/30/20,22890.3,130,14670.18,-35.9
4/4/201,14670.18,90,22330.04,52.2
4/5/201,22330.04,124,23428.47,4.9
4/6/201,23428.47,128,21564.78,-8.0
4/7/201,21564.78,120,28484.99,32.1
4/8/201,28484.99,163,29483.01,3.5
4/9/201,29483.01,155,27515.16,-6.7
5/1/201,27515.16,148,19679.79,-28.5
5/10/20,19679.79,109,31807.98,61.6
5/11/20,31807.98,161,24531.37,-22.9
5/12/20,24531.37,130,26147.21,6.6
5/13/20,26147.21,152,27361.69,4.6
5/14/20,27361.69,144,28970.81,5.9
5/15/20,28970.81,152,23102.14,-20.3
5/16/20,23102.14,119,24177.48,4.7
5/17/20,24177.48,128,25162.51,4.1
5/18/20,25162.51,127,31544.99,25.4
5/19/20,31544.99,164,26529.26,-15.9
5/2/201,26529.26,137,28557.03,7.6
5/20/20,28557.03,158,21884.81,-23.4
5/21/20,21884.81,113,26097.13,19.2
5/22/20,26097.13,156,24971.12,-4.3
5/23/20,24971.12,122,26379.45,5.6
5/24/20,26379.45,141,26613.11,0.9
5/25/20,26613.11,144,26953.08,1.3
5/26/20,26953.08,144,30905.91,14.7
5/27/20,30905.91,154,25480.51,-17.6
5/28/20,25480.51,126,28351.02,11.3
5/29/20,28351.02,135,19226.75,-32.2
5/3/201,19226.75,100,31541.81,64.1
5/30/20,31541.81,169,26600.2,-15.7
5/31/20,26600.2,152,22786.61,-14.3
5/4/201,22786.61,121,22777.65,-0.0
5/5/201,22777.65,119,27723.07,21.7
5/6/201,27723.07,146,27488.9,-0.8
5/7/201,27488.9,145,27308.75,-0.7
5/8/201,27308.75,137,24293.49,-11.0
5/9/201,24293.49,128,28718.01,18.2
6/1/201,28718.01,151,24328.44,-15.3
6/10/20,24328.44,133,23457.83,-3.6
6/11/20,23457.83,117,23805.64,1.5
6/12/20,23805.64,128,23345.54,-1.9
6/13/20,23345.54,116,23844.6,2.1
6/14/20,23844.6,132,26347.25,10.5
6/15/20,26347.25,137,26091.28,-1.0
6/16/20,26091.28,138,24358.34,-6.6
6/17/20,24358.34,135,21045.53,-13.6
6/18/20,21045.53,110,23134.61,9.9
6/19/20,23134.61,117,28250.59,22.1
6/2/201,28250.59,159,24821.59,-12.1
6/20/20,24821.59,135,29320.76,18.1
6/21/20,29320.76,144,27651.35,-5.7
6/22/20,27651.35,144,29230.96,5.7
6/23/20,29230.96,156,22736.75,-22.2
6/24/20,22736.75,117,22675.53,-0.3
6/25/20,22675.53,126,29402.92,29.7
6/26/20,29402.92,158,21534.77,-26.8
6/27/20,21534.77,110,25081.15,16.5
6/28/20,25081.15,136,28484.23,13.6
6/29/20,28484.23,149,24558.95,-13.8
6/3/201,24558.95,128,27986.35,14.0
6/30/20,27986.35,148,31624.6,13.0
6/4/201,31624.6,161,20455.89,-35.3
6/5/201,20455.89,115,22609.65,10.5
6/6/201,22609.65,127,26718.52,18.2
6/7/201,26718.52,153,22079.74,-17.4
6/8/201,22079.74,120,24776.64,12.2
6/9/201,24776.64,139,30255.58,22.1
7/1/201,30255.58,150,25896.41,-14.4
7/10/20,25896.41,131,27652.2,6.8
7/11/20,27652.2,144,25208.34,-8.8
7/12/20,25208.34,137,26297.21,4.3
7/13/20,26297.21,157,32024.83,21.8
7/14/20,32024.83,157,20235.72,-36.8
7/15/20,20235.72,116,28428.22,40.5
7/16/20,28428.22,153,22518.44,-20.8
7/17/20,22518.44,126,27369.29,21.5
7/18/20,27369.29,132,21446.81,-21.6
7/19/20,21446.81,118,26387.34,23.0
7/2/201,26387.34,150,22976.74,-12.9
7/20/20,22976.74,122,22565.49,-1.8
7/21/20,22565.49,130,21432.8,-5.0
7/22/20,21432.8,109,27830.05,29.8
7/23/20,27830.05,142,28441.12,2.2
7/24/20,28441.12,158,24768.31,-12.9
7/25/20,24768.31,140,24209.63,-2.3
7/26/20,24209.63,125,23878.47,-1.4
7/27/20,23878.47,124,31060.8,30.1
7/28/20,31060.8,175,29991.26,-3.4
7/29/20,29991.26,151,24123.4,-19.6
7/3/201,24123.4,121,27171.32,12.6
7/30/20,27171.32,135,22956.68,-15.5
7/31/20,22956.68,126,24946.45,8.7
7/4/201,24946.45,130,30323.69,21.6
7/5/201,30323.69,157,27947.91,-7.8
7/6/201,27947.91,149,28166.4,0.8
7/7/201,28166.4,138,22159.46,-21.3
7/8/201,22159.46,131,21144.83,-4.6
7/9/201,21144.83,121,23805.54,12.6
8/1/201,23805.54,132,26544.41,11.5
8/10/20,26544.41,129,29124.98,9.7
8/11/20,29124.98,158,31680.71,8.8
8/12/20,31680.71,164,24015.12,-24.2
8/13/20,24015.12,142,30412.18,26.6
8/14/20,30412.18,146,26551.55,-12.7
8/15/20,26551.55,146,22778.72,-14.2
8/16/20,22778.72,108,30126.87,32.3
8/17/20,30126.87,158,27171.29,-9.8
8/18/20,27171.29,149,31966.6,17.6
8/19/20,31966.6,163,30793.75,-3.7
8/2/201,30793.75,159,29232.79,-5.1
8/20/20,29232.79,156,31369.99,7.3
8/21/20,31369.99,160,26506.15,-15.5
8/22/20,26506.15,145,23124.71,-12.8
8/23/20,23124.71,123,25420.25,9.9
8/24/20,25420.25,134,26301.22,3.5
8/25/20,26301.22,140,26813.09,1.9
8/26/20,26813.09,145,22188.57,-17.2
8/27/20,22188.57,125,29023.88,30.8
8/28/20,29023.88,155,26964.31,-7.1
8/29/20,26964.31,139,21252.74,-21.2
8/3/201,21252.74,117,31334.94,47.4
8/30/20,31334.94,156,32418.58,3.5
8/31/20,32418.58,162,21532.67,-33.6
8/4/201,21532.67,111,23678.51,10.0
8/5/201,23678.51,135,26598.43,12.3
8/6/201,26598.43,130,26161.14,-1.6
8/7/201,26161.14,145,23624.6,-9.7
8/8/201,23624.6,127,25430.48,7.6
8/9/201,25430.48,146,28212.07,10.9
9/1/201,28212.07,155,24394.73,-13.5
9/10/20,24394.73,124,25893.5,6.1
9/11/20,25893.5,129,30546.86,18.0
9/12/20,30546.86,165,27253.35,-10.8
9/13/20,27253.35,146,24091.51,-11.6
9/14/20,24091.51,133,26424.43,9.7
9/15/20,26424.43,129,31023.06,17.4
9/16/20,31023.06,151,28806.09,-7.1
9/17/20,28806.09,162,29127.01,1.1
9/18/20,29127.01,143,22587.88,-22.5
9/19/20,22587.88,116,26521.39,17.4
9/2/201,26521.39,144,28919.02,9.0
9/20/20,28919.02,155,25836.3,-10.7
9/21/20,25836.3,143,30703.06,18.8
9/22/20,30703.06,164,28247.22,-8.0
9/23/20,28247.22,143,26720.5,-5.4
9/24/20,26720.5,138,27012.24,1.1
9/25/20,27012.24,138,28960.15,7.2
9/26/20,28960.15,149,27971.23,-3.4
9/27/20,27971.23,137,30227.22,8.1
9/28/20,30227.22,153,28353.53,-6.2
9/29/20,28353.53,128,24323.18,-14.2
9/3/201,24323.18,136,23847.8,-2.0
9/30/20,23847.8,132,31465.94,31.9
9/4/201,31465.94,165,29277.03,-7.0
9/5/201,29277.03,147,29740.62,1.6
9/6/201,29740.62,158,24178.6,-18.7
9/7/201,24178.6,130,26097.1,7.9
9/8/201,26097.1,132,30015.65,15.0
9/9/201,30015.65,153,,
