Year_Month,Total_Orders,Total_Revenue,Avg_Order_Value,Late_Orders,Late_Rate_Pct
9/15/20,129,26424.43,204.84,68,52.7
9/16/20,151,31023.06,205.45,85,56.3
9/17/20,162,28806.09,177.82,84,51.9
9/18/20,143,29127.01,203.69,100,69.9
9/19/20,116,22587.88,194.72,67,57.8
9/2/201,144,26521.39,184.18,76,52.8
9/20/20,155,28919.02,186.57,94,60.6
9/21/20,143,25836.3,180.67,88,61.5
9/22/20,164,30703.06,187.21,102,62.2
9/23/20,143,28247.22,197.53,83,58.0
9/24/20,138,26720.5,193.63,101,73.2
9/25/20,138,27012.24,195.74,95,68.8
9/26/20,149,28960.15,194.36,84,56.4
9/27/20,137,27971.23,204.17,85,62.0
9/28/20,153,30227.22,197.56,71,46.4
9/29/20,128,28353.53,221.51,73,57.0
9/3/201,136,24323.18,178.85,71,52.2
9/30/20,132,23847.8,180.67,82,62.1
9/4/201,165,31465.94,190.7,101,61.2
9/5/201,147,29277.03,199.16,100,68.0
9/6/201,158,29740.62,188.23,79,50.0
9/7/201,130,24178.6,185.99,51,39.2
9/8/201,132,26097.1,197.71,76,57.6
9/9/201,153,30015.65,196.18,88,57.5
