Month,Late_Rate,Orders,Prev_Month_Late_Rate,Month_Over_Month_Change,Trend
10/9/20,61.5,122,58.3,3.2,Worsening
11/1/20,58.8,114,61.5,-2.7,Improving
11/10/2,57.0,114,58.8,-1.8,Improving
11/11/2,63.1,141,57.0,6.1,Worsening
11/12/2,43.0,100,63.1,-20.1,Improving
11/13/2,65.2,115,43.0,22.2,Worsening
11/14/2,57.3,117,65.2,-7.9,Improving
11/15/2,46.8,124,57.3,-10.5,Improving
11/16/2,62.0,129,46.8,15.2,Worsening
11/17/2,60.3,131,62.0,-1.7,Improving
11/18/2,58.6,116,60.3,-1.7,Improving
11/19/2,56.7,134,58.6,-1.9,Improving
11/2/20,68.8,138,56.7,12.1,Worsening
11/20/2,53.6,125,68.8,-15.2,Improving
11/21/2,66.9,127,53.6,13.3,Worsening
11/22/2,59.5,126,66.9,-7.4,Improving
11/23/2,60.0,110,59.5,0.5,Worsening
11/24/2,47.2,127,60.0,-12.8,Improving
11/25/2,58.0,138,47.2,10.8,Worsening
11/26/2,77.1,109,58.0,19.1,Worsening
11/27/2,62.5,120,77.1,-14.6,Improving
11/28/2,65.6,154,62.5,3.1,Worsening
11/29/2,53.7,134,65.6,-11.9,Improving
11/3/20,60.6,127,53.7,6.9,Worsening
11/30/2,55.7,140,60.6,-4.9,Improving
11/4/20,59.1,127,55.7,3.4,Worsening
11/5/20,58.7,109,59.1,-0.4,Improving
11/6/20,51.1,131,58.7,-7.6,Improving
11/7/20,61.5,122,51.1,10.4,Worsening
11/8/20,57.4,108,61.5,-4.1,Improving
11/9/20,59.9,137,57.4,2.5,Worsening
12/1/20,61.1,131,59.9,1.2,Worsening
12/10/2,60.0,140,61.1,-1.1,Improving
12/11/2,57.0,93,60.0,-3.0,Improving
12/12/2,55.0,120,57.0,-2.0,Improving
12/13/2,59.0,117,55.0,4.0,Worsening
12/14/2,52.8,106,59.0,-6.2,Improving
12/15/2,67.4,141,52.8,14.6,Worsening
12/16/2,46.6,118,67.4,-20.8,Improving
12/17/2,63.0,119,46.6,16.4,Worsening
12/18/2,70.9,117,63.0,7.9,Worsening
12/19/2,52.8,108,70.9,-18.1,Improving
12/2/20,67.8,143,52.8,15.0,Worsening
12/20/2,58.8,102,67.8,-9.0,Improving
12/21/2,59.3,118,58.8,0.5,Worsening
12/22/2,66.9,121,59.3,7.6,Worsening
12/23/2,67.5,123,66.9,0.6,Worsening
12/24/2,60.0,115,67.5,-7.5,Improving
12/25/2,60.7,135,60.0,0.7,Worsening
12/26/2,57.7,142,60.7,-3.0,Improving
12/27/2,61.9,126,57.7,4.2,Worsening
12/28/2,59.8,127,61.9,-2.1,Improving
12/29/2,66.4,122,59.8,6.6,Worsening
12/3/20,46.6,176,66.4,-19.8,Improving
12/30/2,69.0,145,46.6,22.4,Worsening
12/31/2,52.7,129,69.0,-16.3,Improving
12/4/20,61.0,159,52.7,8.3,Worsening
12/5/20,52.3,111,61.0,-8.7,Improving
12/6/20,70.8,106,52.3,18.5,Worsening
12/7/20,73.1,93,70.8,2.3,Worsening
12/8/20,59.8,112,73.1,-13.3,Improving
12/9/20,58.0,131,59.8,-1.8,Improving
2/1/201,60.8,130,58.0,2.8,Worsening
2/10/20,47.1,138,60.8,-13.7,Improving
2/11/20,45.9,135,47.1,-1.2,Improving
2/12/20,53.9,115,45.9,8.0,Worsening
2/13/20,73.5,132,53.9,19.6,Worsening
2/14/20,54.2,118,73.5,-19.3,Improving
2/15/20,64.7,119,54.2,10.5,Worsening
2/16/20,60.3,136,64.7,-4.4,Improving
2/17/20,69.8,129,60.3,9.5,Worsening
2/18/20,63.7,146,69.8,-6.1,Improving
2/19/20,49.0,151,63.7,-14.7,Improving
2/2/201,68.8,125,49.0,19.8,Worsening
2/20/20,59.4,155,68.8,-9.4,Improving
2/21/20,49.0,153,59.4,-10.4,Improving
2/22/20,60.3,141,49.0,11.3,Worsening
2/23/20,66.7,126,60.3,6.4,Worsening
2/24/20,58.3,132,66.7,-8.4,Improving
2/25/20,51.0,143,58.3,-7.3,Improving
2/26/20,61.3,142,51.0,10.3,Worsening
2/27/20,54.1,133,61.3,-7.2,Improving
2/28/20,57.3,150,54.1,3.2,Worsening
2/29/20,51.3,39,57.3,-6.0,Improving
2/3/201,67.3,162,51.3,16.0,Worsening
2/4/201,46.3,108,67.3,-21.0,Improving
2/5/201,52.7,129,46.3,6.4,Worsening
2/6/201,66.9,118,52.7,14.2,Worsening
2/7/201,46.4,140,66.9,-20.5,Improving
2/8/201,53.4,133,46.4,7.0,Worsening
2/9/201,70.2,141,53.4,16.8,Worsening
3/1/201,56.5,124,70.2,-13.7,Improving
3/10/20,60.3,156,56.5,3.8,Worsening
3/11/20,52.6,114,60.3,-7.7,Improving
3/12/20,52.6,137,52.6,0.0,Stable
3/13/20,57.0,135,52.6,4.4,Worsening
3/14/20,60.7,107,57.0,3.7,Worsening
3/15/20,63.3,120,60.7,2.6,Worsening
3/16/20,57.9,126,63.3,-5.4,Improving
3/17/20,53.4,133,57.9,-4.5,Improving
3/18/20,50.0,158,53.4,-3.4,Improving
3/19/20,59.0,134,50.0,9.0,Worsening
3/2/201,60.7,145,59.0,1.7,Worsening
3/20/20,58.6,133,60.7,-2.1,Improving
3/21/20,50.4,125,58.6,-8.2,Improving
3/22/20,58.7,143,50.4,8.3,Worsening
3/23/20,52.5,120,58.7,-6.2,Improving
3/24/20,63.6,118,52.5,11.1,Worsening
3/25/20,56.6,113,63.6,-7.0,Improving
3/26/20,52.8,123,56.6,-3.8,Improving
3/27/20,48.1,156,52.8,-4.7,Improving
3/28/20,57.6,125,48.1,9.5,Worsening
3/29/20,69.4,124,57.6,11.8,Worsening
3/3/201,60.4,164,69.4,-9.0,Improving
3/30/20,57.4,155,60.4,-3.0,Improving
3/31/20,61.5,156,57.4,4.1,Worsening
3/4/201,74.7,158,61.5,13.2,Worsening
3/5/201,52.6,135,74.7,-22.1,Improving
3/6/201,66.9,151,52.6,14.3,Worsening
3/7/201,61.8,144,66.9,-5.1,Improving
3/8/201,65.3,124,61.8,3.5,Worsening
3/9/201,55.7,131,65.3,-9.6,Improving
4/1/201,52.6,135,55.7,-3.1,Improving
4/10/20,62.9,143,52.6,10.3,Worsening
4/11/20,54.7,139,62.9,-8.2,Improving
4/12/20,58.7,167,54.7,4.0,Worsening
4/13/20,46.4,110,58.7,-12.3,Improving
4/14/20,63.5,148,46.4,17.1,Worsening
4/15/20,54.0,150,63.5,-9.5,Improving
4/16/20,56.7,127,54.0,2.7,Worsening
4/17/20,70.0,140,56.7,13.3,Worsening
4/18/20,59.4,160,70.0,-10.6,Improving
4/19/20,48.3,149,59.4,-11.1,Improving
4/2/201,52.3,128,48.3,4.0,Worsening
4/20/20,51.2,121,52.3,-1.1,Improving
4/21/20,60.1,143,51.2,8.9,Worsening
4/22/20,57.8,135,60.1,-2.3,Improving
4/23/20,69.3,153,57.8,11.5,Worsening
4/24/20,56.7,157,69.3,-12.6,Improving
4/25/20,57.8,128,56.7,1.1,Worsening
4/26/20,66.9,133,57.8,9.1,Worsening
4/27/20,71.3,136,66.9,4.4,Worsening
4/28/20,58.6,111,71.3,-12.7,Improving
4/29/20,62.7,134,58.6,4.1,Worsening
4/3/201,50.3,143,62.7,-12.4,Improving
4/30/20,56.9,130,50.3,6.6,Worsening
4/4/201,52.2,90,56.9,-4.7,Improving
4/5/201,65.3,124,52.2,13.1,Worsening
4/6/201,53.1,128,65.3,-12.2,Improving
4/7/201,64.2,120,53.1,11.1,Worsening
4/8/201,58.9,163,64.2,-5.3,Improving
4/9/201,47.7,155,58.9,-11.2,Improving
5/1/201,66.9,148,47.7,19.2,Worsening
5/10/20,49.5,109,66.9,-17.4,Improving
5/11/20,63.4,161,49.5,13.9,Worsening
5/12/20,56.9,130,63.4,-6.5,Improving
5/13/20,53.3,152,56.9,-3.6,Improving
5/14/20,47.2,144,53.3,-6.1,Improving
5/15/20,50.0,152,47.2,2.8,Worsening
5/16/20,60.5,119,50.0,10.5,Worsening
5/17/20,58.6,128,60.5,-1.9,Improving
5/18/20,59.8,127,58.6,1.2,Worsening
5/19/20,59.8,164,59.8,0.0,Stable
5/2/201,66.4,137,59.8,6.6,Worsening
5/20/20,55.7,158,66.4,-10.7,Improving
5/21/20,70.8,113,55.7,15.1,Worsening
5/22/20,53.2,156,70.8,-17.6,Improving
5/23/20,60.7,122,53.2,7.5,Worsening
5/24/20,69.5,141,60.7,8.8,Worsening
5/25/20,52.8,144,69.5,-16.7,Improving
5/26/20,68.1,144,52.8,15.3,Worsening
5/27/20,69.5,154,68.1,1.4,Worsening
5/28/20,57.1,126,69.5,-12.4,Improving
5/29/20,64.4,135,57.1,7.3,Worsening
5/3/201,70.0,100,64.4,5.6,Worsening
5/30/20,53.8,169,70.0,-16.2,Improving
5/31/20,59.9,152,53.8,6.1,Worsening
5/4/201,52.1,121,59.9,-7.8,Improving
5/5/201,63.0,119,52.1,10.9,Worsening
5/6/201,52.1,146,63.0,-10.9,Improving
5/7/201,62.1,145,52.1,10.0,Worsening
5/8/201,63.5,137,62.1,1.4,Worsening
5/9/201,60.9,128,63.5,-2.6,Improving
6/1/201,51.7,151,60.9,-9.2,Improving
6/10/20,65.4,133,51.7,13.7,Worsening
6/11/20,58.1,117,65.4,-7.3,Improving
6/12/20,60.9,128,58.1,2.8,Worsening
6/13/20,63.8,116,60.9,2.9,Worsening
6/14/20,59.8,132,63.8,-4.0,Improving
6/15/20,55.5,137,59.8,-4.3,Improving
6/16/20,67.4,138,55.5,11.9,Worsening
6/17/20,57.8,135,67.4,-9.6,Improving
6/18/20,50.0,110,57.8,-7.8,Improving
6/19/20,54.7,117,50.0,4.7,Worsening
6/2/201,53.5,159,54.7,-1.2,Improving
6/20/20,58.5,135,53.5,5.0,Worsening
6/21/20,53.5,144,58.5,-5.0,Improving
6/22/20,51.4,144,53.5,-2.1,Improving
6/23/20,66.0,156,51.4,14.6,Worsening
6/24/20,56.4,117,66.0,-9.6,Improving
6/25/20,48.4,126,56.4,-8.0,Improving
6/26/20,50.6,158,48.4,2.2,Worsening
6/27/20,60.9,110,50.6,10.3,Worsening
6/28/20,64.0,136,60.9,3.1,Worsening
6/29/20,41.6,149,64.0,-22.4,Improving
6/3/201,60.9,128,41.6,19.3,Worsening
6/30/20,55.4,148,60.9,-5.5,Improving
6/4/201,70.2,161,55.4,14.8,Worsening
6/5/201,61.7,115,70.2,-8.5,Improving
6/6/201,46.5,127,61.7,-15.2,Improving
6/7/201,65.4,153,46.5,18.9,Worsening
6/8/201,55.8,120,65.4,-9.6,Improving
6/9/201,74.8,139,55.8,19.0,Worsening
7/1/201,58.0,150,74.8,-16.8,Improving
7/10/20,59.5,131,58.0,1.5,Worsening
7/11/20,59.7,144,59.5,0.2,Worsening
7/12/20,54.7,137,59.7,-5.0,Improving
7/13/20,67.5,157,54.7,12.8,Worsening
7/14/20,61.1,157,67.5,-6.4,Improving
7/15/20,57.8,116,61.1,-3.3,Improving
7/16/20,51.6,153,57.8,-6.2,Improving
7/17/20,53.2,126,51.6,1.6,Worsening
7/18/20,53.8,132,53.2,0.6,Worsening
7/19/20,57.6,118,53.8,3.8,Worsening
7/2/201,56.7,150,57.6,-0.9,Improving
7/20/20,51.6,122,56.7,-5.1,Improving
7/21/20,56.2,130,51.6,4.6,Worsening
7/22/20,53.2,109,56.2,-3.0,Improving
7/23/20,50.7,142,53.2,-2.5,Improving
7/24/20,58.2,158,50.7,7.5,Worsening
7/25/20,55.0,140,58.2,-3.2,Improving
7/26/20,58.4,125,55.0,3.4,Worsening
7/27/20,46.8,124,58.4,-11.6,Improving
7/28/20,60.6,175,46.8,13.8,Worsening
7/29/20,66.2,151,60.6,5.6,Worsening
7/3/201,76.0,121,66.2,9.8,Worsening
7/30/20,63.0,135,76.0,-13.0,Improving
7/31/20,51.6,126,63.0,-11.4,Improving
7/4/201,56.2,130,51.6,4.6,Worsening
7/5/201,61.8,157,56.2,5.6,Worsening
7/6/201,48.3,149,61.8,-13.5,Improving
7/7/201,63.0,138,48.3,14.7,Worsening
7/8/201,68.7,131,63.0,5.7,Worsening
7/9/201,64.5,121,68.7,-4.2,Improving
8/1/201,64.4,132,64.5,-0.1,Improving
8/10/20,58.9,129,64.4,-5.5,Improving
8/11/20,50.6,158,58.9,-8.3,Improving
8/12/20,55.5,164,50.6,4.9,Worsening
8/13/20,64.8,142,55.5,9.3,Worsening
8/14/20,63.7,146,64.8,-1.1,Improving
8/15/20,66.4,146,63.7,2.7,Worsening
8/16/20,55.6,108,66.4,-10.8,Improving
8/17/20,65.8,158,55.6,10.2,Worsening
8/18/20,58.4,149,65.8,-7.4,Improving
8/19/20,57.1,163,58.4,-1.3,Improving
8/2/201,59.1,159,57.1,2.0,Worsening
8/20/20,71.2,156,59.1,12.1,Worsening
8/21/20,67.5,160,71.2,-3.7,Improving
8/22/20,72.4,145,67.5,4.9,Worsening
8/23/20,51.2,123,72.4,-21.2,Improving
8/24/20,59.0,134,51.2,7.8,Worsening
8/25/20,61.4,140,59.0,2.4,Worsening
8/26/20,63.4,145,61.4,2.0,Worsening
8/27/20,61.6,125,63.4,-1.8,Improving
8/28/20,60.0,155,61.6,-1.6,Improving
8/29/20,61.2,139,60.0,1.2,Worsening
8/3/201,53.0,117,61.2,-8.2,Improving
8/30/20,69.2,156,53.0,16.2,Worsening
8/31/20,60.5,162,69.2,-8.7,Improving
8/4/201,59.5,111,60.5,-1.0,Improving
8/5/201,71.1,135,59.5,11.6,Worsening
8/6/201,65.4,130,71.1,-5.7,Improving
8/7/201,64.8,145,65.4,-0.6,Improving
8/8/201,53.5,127,64.8,-11.3,Improving
8/9/201,56.2,146,53.5,2.7,Worsening
9/1/201,56.8,155,56.2,0.6,Worsening
9/10/20,54.0,124,56.8,-2.8,Improving
9/11/20,52.7,129,54.0,-1.3,Improving
9/12/20,57.0,165,52.7,4.3,Worsening
9/13/20,55.5,146,57.0,-1.5,Improving
9/14/20,49.6,133,55.5,-5.9,Improving
9/15/20,52.7,129,49.6,3.1,Worsening
9/16/20,56.3,151,52.7,3.6,Worsening
9/17/20,51.9,162,56.3,-4.4,Improving
9/18/20,69.9,143,51.9,18.0,Worsening
9/19/20,57.8,116,69.9,-12.1,Improving
9/2/201,52.8,144,57.8,-5.0,Improving
9/20/20,60.6,155,52.8,7.8,Worsening
9/21/20,61.5,143,60.6,0.9,Worsening
9/22/20,62.2,164,61.5,0.7,Worsening
9/23/20,58.0,143,62.2,-4.2,Improving
9/24/20,73.2,138,58.0,15.2,Worsening
9/25/20,68.8,138,73.2,-4.4,Improving
9/26/20,56.4,149,68.8,-12.4,Improving
9/27/20,62.0,137,56.4,5.6,Worsening
9/28/20,46.4,153,62.0,-15.6,Improving
9/29/20,57.0,128,46.4,10.6,Worsening
9/3/201,52.2,136,57.0,-4.8,Improving
9/30/20,62.1,132,52.2,9.9,Worsening
9/4/201,61.2,165,62.1,-0.9,Improving
9/5/201,68.0,147,61.2,6.8,Worsening
9/6/201,50.0,158,68.0,-18.0,Improving
9/7/201,39.2,130,50.0,-10.8,Improving
9/8/201,57.6,132,39.2,18.4,Worsening
9/9/201,57.5,153,57.6,-0.1,Improving
