Month,Monthly_Revenue,Cumulative_Revenue,Three_Month_Moving_Avg
4/24/20,30644.0,5474833.92,28590.64
4/25/20,23564.49,5498398.41,28083.1
4/26/20,23798.76,5522197.17,26002.42
4/27/20,25364.54,5547561.71,24242.6
4/28/20,23185.62,5570747.33,24116.31
4/29/20,26780.39,5597527.72,25110.18
4/3/201,25695.9,5623223.62,25220.64
4/30/20,22890.3,5646113.92,25122.2
4/4/201,14670.18,5660784.1,21085.46
4/5/201,22330.04,5683114.14,19963.51
4/6/201,23428.47,5706542.61,20142.9
4/7/201,21564.78,5728107.39,22441.1
4/8/201,28484.99,5756592.38,24492.75
4/9/201,29483.01,5786075.39,26510.93
5/1/201,27515.16,5813590.55,28494.39
5/10/20,19679.79,5833270.34,25559.32
5/11/20,31807.98,5865078.32,26334.31
5/12/20,24531.37,5889609.69,25339.71
5/13/20,26147.21,5915756.9,27495.52
5/14/20,27361.69,5943118.59,26013.42
5/15/20,28970.81,5972089.4,27493.24
5/16/20,23102.14,5995191.54,26478.21
5/17/20,24177.48,6019369.02,25416.81
5/18/20,25162.51,6044531.53,24147.38
5/19/20,31544.99,6076076.52,26961.66
5/2/201,26529.26,6102605.78,27745.59
5/20/20,28557.03,6131162.81,28877.09
5/21/20,21884.81,6153047.62,25657.03
5/22/20,26097.13,6179144.75,25512.99
5/23/20,24971.12,6204115.87,24317.69
5/24/20,26379.45,6230495.32,25815.9
5/25/20,26613.11,6257108.43,25987.89
5/26/20,26953.08,6284061.51,26648.55
5/27/20,30905.91,6314967.42,28157.37
5/28/20,25480.51,6340447.93,27779.83
5/29/20,28351.02,6368798.95,28245.81
5/3/201,19226.75,6388025.7,24352.76
5/30/20,31541.81,6419567.51,26373.19
5/31/20,26600.2,6446167.71,25789.59
5/4/201,22786.61,6468954.32,26976.21
5/5/201,22777.65,6491731.97,24054.82
5/6/201,27723.07,6519455.04,24429.11
5/7/201,27488.9,6546943.94,25996.54
5/8/201,27308.75,6574252.69,27506.91
5/9/201,24293.49,6598546.18,26363.71
6/1/201,28718.01,6627264.19,26773.42
6/10/20,24328.44,6651592.63,25779.98
6/11/20,23457.83,6675050.46,25501.43
6/12/20,23805.64,6698856.1,23863.97
6/13/20,23345.54,6722201.64,23536.34
6/14/20,23844.6,6746046.24,23665.26
6/15/20,26347.25,6772393.49,24512.46
6/16/20,26091.28,6798484.77,25427.71
6/17/20,24358.34,6822843.11,25598.96
6/18/20,21045.53,6843888.64,23831.72
6/19/20,23134.61,6867023.25,22846.16
6/2/201,28250.59,6895273.84,24143.58
6/20/20,24821.59,6920095.43,25402.26
6/21/20,29320.76,6949416.19,27464.31
6/22/20,27651.35,6977067.54,27264.57
6/23/20,29230.96,7006298.5,28734.36
6/24/20,22736.75,7029035.25,26539.69
6/25/20,22675.53,7051710.78,24881.08
6/26/20,29402.92,7081113.7,24938.4
6/27/20,21534.77,7102648.47,24537.74
6/28/20,25081.15,7127729.62,25339.61
6/29/20,28484.23,7156213.85,25033.38
6/3/201,24558.95,7180772.8,26041.44
6/30/20,27986.35,7208759.15,27009.84
6/4/201,31624.6,7240383.75,28056.63
6/5/201,20455.89,7260839.64,26688.95
6/6/201,22609.65,7283449.29,24896.71
6/7/201,26718.52,7310167.81,23261.35
6/8/201,22079.74,7332247.55,23802.64
6/9/201,24776.64,7357024.19,24524.97
7/1/201,30255.58,7387279.77,25703.99
7/10/20,25896.41,7413176.18,26976.21
7/11/20,27652.2,7440828.38,27934.73
7/12/20,25208.34,7466036.72,26252.32
7/13/20,26297.21,7492333.93,26385.92
7/14/20,32024.83,7524358.76,27843.46
7/15/20,20235.72,7544594.48,26185.92
7/16/20,28428.22,7573022.7,26896.26
7/17/20,22518.44,7595541.14,23727.46
7/18/20,27369.29,7622910.43,26105.32
7/19/20,21446.81,7644357.24,23778.18
7/2/201,26387.34,7670744.58,25067.81
7/20/20,22976.74,7693721.32,23603.63
7/21/20,22565.49,7716286.81,23976.52
7/22/20,21432.8,7737719.61,22325.01
7/23/20,27830.05,7765549.66,23942.78
7/24/20,28441.12,7793990.78,25901.32
7/25/20,24768.31,7818759.09,27013.16
7/26/20,24209.63,7842968.72,25806.35
7/27/20,23878.47,7866847.19,24285.47
7/28/20,31060.8,7897907.99,26382.97
7/29/20,29991.26,7927899.25,28310.18
7/3/201,24123.4,7952022.65,28391.82
7/30/20,27171.32,7979193.97,27095.33
7/31/20,22956.68,8002150.65,24750.47
7/4/201,24946.45,8027097.1,25024.82
7/5/201,30323.69,8057420.79,26075.61
7/6/201,27947.91,8085368.7,27739.35
7/7/201,28166.4,8113535.1,28812.67
7/8/201,22159.46,8135694.56,26091.26
7/9/201,21144.83,8156839.39,23823.56
8/1/201,23805.54,8180644.93,22369.94
8/10/20,26544.41,8207189.34,23831.59
8/11/20,29124.98,8236314.32,26491.64
8/12/20,31680.71,8267995.03,29116.7
8/13/20,24015.12,8292010.15,28273.6
8/14/20,30412.18,8322422.33,28702.67
8/15/20,26551.55,8348973.88,26992.95
8/16/20,22778.72,8371752.6,26580.82
8/17/20,30126.87,8401879.47,26485.71
8/18/20,27171.29,8429050.76,26692.29
8/19/20,31966.6,8461017.36,29754.92
8/2/201,30793.75,8491811.11,29977.21
8/20/20,29232.79,8521043.9,30664.38
8/21/20,31369.99,8552413.89,30465.51
8/22/20,26506.15,8578920.04,29036.31
8/23/20,23124.71,8602044.75,27000.28
8/24/20,25420.25,8627465.0,25017.04
8/25/20,26301.22,8653766.22,24948.73
8/26/20,26813.09,8680579.31,26178.19
8/27/20,22188.57,8702767.88,25100.96
8/28/20,29023.88,8731791.76,26008.51
8/29/20,26964.31,8758756.07,26058.92
8/3/201,21252.74,8780008.81,25746.98
8/30/20,31334.94,8811343.75,26517.33
8/31/20,32418.58,8843762.33,28335.42
8/4/201,21532.67,8865295.0,28428.73
8/5/201,23678.51,8888973.51,25876.59
8/6/201,26598.43,8915571.94,23936.54
8/7/201,26161.14,8941733.08,25479.36
8/8/201,23624.6,8965357.68,25461.39
8/9/201,25430.48,8990788.16,25072.07
9/1/201,28212.07,9019000.23,25755.72
9/10/20,24394.73,9043394.96,26012.43
9/11/20,25893.5,9069288.46,26166.77
9/12/20,30546.86,9099835.32,26945.03
9/13/20,27253.35,9127088.67,27897.9
9/14/20,24091.51,9151180.18,27297.24
9/15/20,26424.43,9177604.61,25923.1
9/16/20,31023.06,9208627.67,27179.67
9/17/20,28806.09,9237433.76,28751.19
9/18/20,29127.01,9266560.77,29652.05
9/19/20,22587.88,9289148.65,26840.33
9/2/201,26521.39,9315670.04,26078.76
9/20/20,28919.02,9344589.06,26009.43
9/21/20,25836.3,9370425.36,27092.24
9/22/20,30703.06,9401128.42,28486.13
9/23/20,28247.22,9429375.64,28262.19
9/24/20,26720.5,9456096.14,28556.93
9/25/20,27012.24,9483108.38,27326.65
9/26/20,28960.15,9512068.53,27564.3
9/27/20,27971.23,9540039.76,27981.21
9/28/20,30227.22,9570266.98,29052.87
9/29/20,28353.53,9598620.51,28850.66
9/3/201,24323.18,9622943.69,27634.64
9/30/20,23847.8,9646791.49,25508.17
9/4/201,31465.94,9678257.43,26545.64
9/5/201,29277.03,9707534.46,28196.92
9/6/201,29740.62,9737275.08,30161.2
9/7/201,24178.6,9761453.68,27732.08
9/8/201,26097.1,9787550.78,26672.11
9/9/201,30015.65,9817566.43,26763.78
